Title,Author,Published_Date,Description
SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,Date non disponible,A look at the contemporary racial landscape of the United States.
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Date non disponible,"How trauma affects the body and mind, and innovative treatments for recovery."
JUST MERCY,Bryan Stevenson,Date non disponible,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.
THE WARMTH OF OTHER SUNS,Isabel Wilkerson,Date non disponible,"An account of the Great Migration of 1915-70, in which six million African-Americans abandoned the South."
BORN A CRIME,Trevor Noah,Date non disponible,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”
THE COLOR OF LAW,Richard Rothstein,Date non disponible,A case for how the American government abetted racial segregation in metropolitan areas across the country.
STAMPED FROM THE BEGINNING,Ibram X Kendi,Date non disponible,Winner of the 2016 National Book Award for nonfiction. A look at anti-Black racist ideas and their effect on the course of American history.
THE NEW JIM CROW,Michelle Alexander,Date non disponible,A law professor on the “war on drugs” and its role in the disproportionate incarceration of Black men.
WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?,Beverly Daniel Tatum,Date non disponible,The president emerita of Spelman College examines whether self-segregation is a problem or a coping strategy.
ON TYRANNY,Timothy Snyder,Date non disponible,Twenty lessons from the 20th century about the course of tyranny.
FEAR,Bob Woodward,Date non disponible,"Based on hundreds of hours of interviews with sources, the Pulitzer Prize-winning journalist describes debates and decision-making within the Trump White House."
ALEXANDER HAMILTON,Ron Chernow,Date non disponible,A biography of the first Treasury secretary and one of the Founding Fathers of the United States. The basis of the Tony Award-winning Broadway musical.
MY GRANDMOTHER'S HANDS,Resmaa Menakem,Date non disponible,"A therapist who specializes in trauma, body-centered psychotherapy and violence prevention explains racism's effect on the body."
MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Date non disponible,A collection of articles and speeches by the Supreme Court justice.
THE HOME EDIT LIFE,Clea Shearer and Joanna Teplin,Date non disponible,
SKINNYTASTE MEAL PREP,Gina Homolka with Heather K Jones,Date non disponible,
THINK LIKE A MONK,Jay Shetty,Date non disponible,
THE HOME EDIT,Clea Shearer and Joanna Teplin,Date non disponible,
DOESN'T HURT TO ASK,Trey Gowdy,Date non disponible,
THE GIFTS OF IMPERFECTION,Brené Brown,Date non disponible,
THE FIVE LOVE LANGUAGES,Gary Chapman,Date non disponible,
WELCOME HOME,Myquillyn Smith,Date non disponible,
ATOMIC HABITS,James Clear,Date non disponible,
"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,Date non disponible,
ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE,Jeff Kinney,Date non disponible,Roland and Garg the Barbarian embark on a quest to save Roland's mom from the White Warlock.
THE ONE AND ONLY BOB,Katherine Applegate.,Date non disponible,"In this sequel to ""The One and Only Ivan,"" Bob sets out on a dangerous journey in search of his long-lost sister."
WONDER,R.J. Palacio,Date non disponible,A boy with a facial deformity starts school.
DIARY OF AN AWESOME FRIENDLY KID,Jeff Kinney,Date non disponible,Greg’s best friend Rowley Jefferson writes his own diary.
THREE KEYS,Kelly Yang,Date non disponible,"Mia Tang battles racism in this sequel to ""Front Desk."""
REFUGEE,Alan Gratz,Date non disponible,Three children in three different conflicts look for safe haven.
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,Date non disponible,Over 100 kid-tested recipes from America's Test Kitchen.
THE SILVER ARROW,Lev Grossman,Date non disponible,Kate and Tom travel the world saving animals on a magical locomotive.
LITTLE LEADERS,Vashti Harrison,Date non disponible,The biographies of 40 African-American women who made a difference.
A WOLF CALLED WANDER,Rosanne Parry.,Date non disponible,A young wolf named Swift embarks on a perilous journey.
I PROMISE,LeBron James,Date non disponible,An inspirational poem for children by the NBA superstar.
CREEPY PAIR OF UNDERWEAR,Aaron Reynolds.,Date non disponible,Jasper Rabbit deals with a pair of glowing underwear that won't go away.
CREEPY CARROTS!,Aaron Reynolds.,Date non disponible,A rabbit’s comeuppance.
WILD SYMPHONY,Dan Brown,Date non disponible,"Through 20 poems, Maestro Mouse introduces us to his musical animal friends."
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Date non disponible,A celebration of future possibilities.
THE PIGEON HAS TO GO TO SCHOOL!,Mo Willems,Date non disponible,Pigeon deals with the anxieties of going to school for the first time.
THE DAY YOU BEGIN,Jacqueline Woodson.,Date non disponible,A group of school children embrace their differences.
I AM ENOUGH,Grace ers.,Date non disponible,A poetic affirmation of self-esteem.
I AM EVERY GOOD THING,Derrick Barnes,Date non disponible,A powerful celebration of Black boyhood.
HAIR LOVE,Matthew A. Cherry.,Date non disponible,A father and daughter work together on an extra-special hairstyle.
DOG MAN,Dav Pilkey,Date non disponible,A dog’s head is combined with a policeman’s body to create this hybrid supercop hound.
THE TWILIGHT SAGA,Stephenie Meyer,Date non disponible,Vampires and werewolves and their intrigues in high school.
HARRY POTTER,J.K. Rowling,Date non disponible,A wizard hones his conjuring skills in the service of fighting evil.
THE LAST KIDS ON EARTH,Max Brallier.,Date non disponible,Jack and his friends fight for their lives through the zombie apocalypse.
DIARY OF A WIMPY KID,and   Jeff Kinney,Date non disponible,The travails and challenges of adolescence.
BABY-SITTERS CLUB GRAPHIX,Ann M. Martin; various illustrators,Date non disponible,"Kristy, Mary Anne, Claudia, Stacey, and Dawn are The Baby-sitters Club."
THE HUNGER GAMES,Suzanne Collins,Date non disponible,"In a dystopia, a girl fights for survival on live TV."
THE BAD GUYS,Aaron Blabey,Date non disponible,Tough animals in suits take on some real villains.
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Date non disponible,A boy battles mythological monsters.
I SURVIVED,Lauren Tarshis,Date non disponible,Youngsters' tales of living through dangerous historical events.
STAMPED,Jason Reynolds and Ibram X. Kendi,Date non disponible,An exploration of racism and anti-racism in America.
THE HATE U GIVE,Angie Thomas,Date non disponible,A 16-year-old girl sees a police officer kill her friend.
ONE OF US IS LYING,Karen M. McManus,Date non disponible,"For five students, a detour into detention ends in murder."
GROWN,Tiffany D Jackson,Date non disponible,An aspiring singer is taken advantage of by a superstar.
LEGENDBORN,Tracy Deonn,Date non disponible,A young girl battles grief and demonic forces on a college campus.
THE LOST BOOK OF THE WHITE,Cassandra Clare and Wesley Chu,Date non disponible,"Magnus and Alec must retrieve the Book of the White, which is stolen from their apartment."
PUNCHING THE AIR,Ibi Zoboi and Yusef Salaam,Date non disponible,"Convicted of a crime he didn’t commit and sent to prison, Amal uses the freedom of art to overcome his incarceration."
CEMETERY BOYS,Aiden Thomas,Date non disponible,A trans boy determined to prove his gender to his traditional Latinx family summons a ghost who refuses to leave.
CLAP WHEN YOU LAND,Elizabeth Acevedo,Date non disponible,"Unbeknownst to each other, two sisters meet when their father dies in a plane crash."
HAWK,James Patterson,Date non disponible,"Ten years after Maximum Ride, a new hero emerges in a postapocalyptic New York City."
THE SANDMAN,Neil Gaiman and Dirk Maggs,Date non disponible,"Lord Morpheus confronts an array of fictional and historical characters. Read by Riz Ahmed, Kat Dennings, Taron Egerton, James McAvoy, Samantha Morton, et al. 10 hours, 54 minutes unabridged."
THE GUEST LIST,Lucy Foley,Date non disponible,"A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly. Read by Jot Davies, Chloe Massey, Olivia Dowd, et al. 9 hours, 54 minutes unabridged."
WHERE THE CRAWDADS SING,Delia Owens,Date non disponible,"A young woman who survived alone in the marsh becomes a murder suspect. Read by Cassandra Campbell. 12 hours, 12 minutes unabridged."
THE VANISHING HALF,Brit Bennett,Date non disponible,"The lives of twin sisters who run away from a Southern Black community at age 16 diverge but their fates intertwine. Read by Shayna Small. 11 hours, 34 minutes unabridged."
CRITICAL MASS,Craig Alanson,Date non disponible,"The 10th book in the Expeditionary Force series. Read by R.C. Bray. 19 hours, 25 minutes unabridged."
THE SILENT WIFE,Karin Slaughter,Date non disponible,"The 10th book in the Will Trent series. Read by Kathleen Early. 18 hours, 33 minutes unabridged."
PRETTY THINGS,Janelle Brown,Date non disponible,"The daughter of a con artist and an heiress team up to pull off a big deceit. Read by Julia Whelan, Lauren Fortgang and Hillary Huber. 16 hours, 6 minutes unabridged."
AMERICAN DIRT,Jeanine Cummins,Date non disponible,"A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel. Read by Yareli Arizmendi. 16 hours, 54 minutes unabridged."
THE SILENT PATIENT,Alex Michaelides,Date non disponible,"A famous painter stops speaking after shooting her husband. Read by Jack Hawkins and Louise Brealey. 8 hours, 43 minutes unabridged."
THE DUTCH HOUSE,Ann Patchett,Date non disponible,"A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades. Read by Tom Hanks. 9 hours, 53 minutes unabridged."
THE SUMMER HOUSE,James Patterson and Brendan DuBois,Date non disponible,"Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder. Read by Ari Fliakos. 10 hours, 19 minutes unabridged."
THE GIVER OF STARS,Jojo Moyes,Date non disponible,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books. Read by Julia Whelan. 13 hours, 52 minutes unabridged."
A PRIVATE CATHEDRAL,James Lee Burke,Date non disponible,"The 23rd book in the Dave Robicheaux series. Read by Will Patton. 11 hours, 30 minutes unabridged."
28 SUMMERS,Elin Hilderbrand,Date non disponible,"A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president. Read by Erin Bennett. 15 hours, 26 minutes unabridged."
THE THINGS WE CANNOT SAY,Kelly Rimmer,Date non disponible,"During World War II, a 15-year-old girl’s engagement is imperiled by the Nazi occupation of her village. Read by Ann Marie Gideon and Nancy Peterson. 13 hours, 42 minutes unabridged."
CASTE,Isabel Wilkerson,Date non disponible,"The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today. Read by Robin Miles. 14 hours, 26 minutes unabridged."
TOO MUCH AND NEVER ENOUGH,Mary L Trump,Date non disponible,"The clinical psychologist gives her assessment of events and patterns inside her family and how they shaped President Trump. Read by the author. 7 hours, 5 minutes unabridged."
UNTAMED,Glennon Doyle,Date non disponible,"The activist and public speaker describes her journey of listening to her inner voice. Read by the author. 8 hours, 22 minutes unabridged."
